Sqd,Giocatore,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP,yyss
atalanta,Raimondi C.,D,4.0,18.0,,,4.0,,,,,,5.91,5.76,-2.0,2015-16
empoli,Piu A.,A,4.0,10.0,,,,,,,,,5.8,5.75,,2015-16
udinese,Badu E.,C,13.0,33.0,4.0,1.0,6.0,,,,,,5.98,6.29,10.0,2015-16
roma,Zukanovic E.,D,7.0,25.0,3.0,1.0,7.0,1.0,,,,,5.76,5.9,3.5,2015-16
atalanta,Kresic A.,D,1.0,,,,,,,,,,,,,2015-16
inter,Nagatomo Y.,D,4.0,22.0,,,4.0,2.0,,,,,5.71,5.52,-4.0,2015-16
sampdoria,Dodo,D,4.0,17.0,,1.0,4.0,,,,,,5.59,5.53,-1.0,2015-16
bologna,Mirante A.,P,18.0,33.0,-41.0,,2.0,,,,,1.0,6.29,5.11,-39.0,2015-16
torino,Castellazzi L.,P,1.0,,,,,,,,,,,5.0,,2015-16
verona,Coppola F.,P,1.0,1.0,-1.0,,,,,,,,6.0,3.0,-3.0,2015-16
sassuolo,Consigli A.,P,23.0,36.0,-37.0,,3.0,1.0,,,,2.0,6.21,5.22,-35.5,2015-16
atalanta,Toloi R.,D,4.0,24.0,1.0,,6.0,1.0,,,,,5.74,5.63,-2.5,2015-16
fiorentina,Sepe L.,P,3.0,,,,,,,,,,,,,2015-16
empoli,Ariaudo L.,D,3.0,9.0,,,,,,,,,5.69,5.72,,2015-16
bologna,Zuniga J.,D,5.0,9.0,,1.0,,,,,,,5.44,5.56,1.0,2015-16
atalanta,Borriello M.,A,12.0,27.0,8.0,2.0,4.0,1.0,1.0,1.0,,,6.16,7.08,23.0,2015-16
lazio,Djordjevic F.,A,7.0,27.0,3.0,2.0,1.0,1.0,,,,,5.43,5.85,9.5,2015-16
napoli,Ghoulam F.,D,11.0,34.0,,2.0,3.0,,,,,,6.0,6.01,0.5,2015-16
empoli,Tonelli L.,D,9.0,26.0,2.0,,8.0,1.0,,,,,6.02,6.06,1.0,2015-16
bologna,Silvestro V.,C,1.0,,,,,,,,,,,,,2015-16
roma,Castan L.,D,3.0,5.0,,,1.0,,,,,,5.1,5.0,-0.5,2015-16
frosinone,Carlini M.,T (C),4.0,14.0,,,,,,,,,5.77,5.77,,2015-16
roma,Emerson P.,D,6.0,8.0,1.0,,1.0,,,,,,5.88,6.5,2.5,2015-16
sassuolo,Longhi A.,D,3.0,6.0,,1.0,1.0,,,,,,5.92,6.0,0.5,2015-16
inter,Medel G.,C,8.0,30.0,1.0,1.0,10.0,,,,,,6.05,6.02,-1.0,2015-16
bologna,Rossettini L.,D,8.0,29.0,3.0,1.0,5.0,,,,,,5.66,5.91,7.5,2015-16
bologna,Rizzo L.,C,4.0,23.0,,2.0,2.0,1.0,,,,,5.91,5.91,,2015-16
carpi,Brkic Z.,P,4.0,4.0,-12.0,,,,,,,,5.12,2.12,-12.0,2015-16
napoli,Mertens D.,T (C),21.0,33.0,5.0,5.0,7.0,,,,,,6.18,6.64,16.5,2015-16
juventus,Marchisio C.,C,8.0,23.0,,2.0,8.0,,,,,,6.32,6.2,-2.0,2015-16
atalanta,Diamanti A.,T (C),15.0,16.0,1.0,1.0,4.0,,,,,,5.96,6.11,2.0,2015-16
juventus,Zaza S.,A,6.0,19.0,5.0,,6.0,1.0,,,,,5.89,6.5,11.5,2015-16
atalanta,Bassi D.,P,1.0,1.0,-3.0,,,,,,,,6.0,3.0,-3.0,2015-16
fiorentina,Babacar K.,A,3.0,18.0,5.0,1.0,2.0,,1.0,1.0,,,5.86,6.96,15.5,2015-16
milan,Menez J.,T (A),3.0,10.0,2.0,,1.0,,1.0,1.0,,,5.38,6.06,5.5,2015-16
genoa,Cerci A.,T (A),6.0,24.0,4.0,2.0,1.0,,3.0,3.0,,,5.79,6.39,13.5,2015-16
lazio,De Vrij S.,D,4.0,2.0,,,,,,,,,5.25,5.25,,2015-16
napoli,Valdifiori M.,C,3.0,6.0,,,3.0,,,,,,5.08,4.83,-1.5,2015-16
bologna,Da Costa A.,P,1.0,5.0,-4.0,,1.0,,,,,,5.9,5.0,-4.5,2015-16
fiorentina,Roncaglia F.,D,6.0,30.0,1.0,,9.0,,,,,,5.74,5.69,-1.5,2015-16
atalanta,Gakpe S.,T (A),4.0,18.0,3.0,1.0,1.0,,,,,,5.89,6.57,9.5,2015-16
juventus,Chiellini G.,D,9.0,24.0,1.0,,4.0,1.0,,,,,6.08,6.08,,2015-16
carpi,Gnahore E.,C,2.0,,,,,,,,,,,,,2015-16
bologna,Stojanovic D.,P,1.0,,,,,,,,,,,,,2015-16
chievo,Cesar B.,D,8.0,31.0,1.0,,9.0,1.0,,,,,5.92,5.84,-2.5,2015-16
bologna,Crisetig L.,C,4.0,5.0,,,1.0,,,,,,5.3,5.2,-0.5,2015-16
milan,Abate I.,D,7.0,27.0,1.0,1.0,7.0,,,,,,5.9,5.92,0.5,2015-16
chievo,Miranda J.,A,2.0,,,,,,,,,,,,,2015-16
lazio,Hoedt W.,D,4.0,25.0,,,3.0,1.0,,,,,5.52,5.42,-2.5,2015-16
verona,Furman D.,C,3.0,1.0,,,,,,,,,6.0,6.0,,2015-16
fiorentina,Blaszczykowski J.,T (C),4.0,15.0,2.0,,1.0,,,,,,5.86,6.29,5.5,2015-16
roma,Capradossi E.,D,1.0,,,,,,,,,,,,,2015-16
carpi,Mbakogu J.,A,5.0,24.0,2.0,2.0,2.0,,3.0,1.0,2.0,,5.85,5.9,1.0,2015-16
carpi,Gagliolo R.,D,8.0,31.0,1.0,,11.0,1.0,,,,,5.84,5.73,-3.5,2015-16
milan,Lopez D.,P,3.0,8.0,-14.0,,1.0,,,,,,5.94,4.12,-14.5,2015-16
genoa,Gabriel Silva A.,D,5.0,27.0,,2.0,4.0,,,,,,5.73,5.72,,2015-16
palermo,Balogh N.,A,4.0,4.0,,,,,,,,,5.5,5.5,,2015-16
genoa,Marchese G.,D,3.0,11.0,,,4.0,,,,,,5.7,5.5,-2.0,2015-16
lazio,Gentiletti S.,D,3.0,19.0,,,10.0,,,,,,5.45,5.08,-7.0,2015-16
inter,Miranda J.,D,13.0,32.0,1.0,2.0,6.0,2.0,,,,,6.17,6.17,,2015-16
sampdoria,Rodriguez A.,A,4.0,6.0,,,,,,,,,,5.5,,2015-16
sassuolo,Pegolo G.,P,1.0,2.0,-2.0,,1.0,,,,,,6.5,5.17,-2.5,2015-16
empoli,Camporese M.,D,2.0,2.0,,,,,,,,,4.75,3.75,-2.0,2015-16
bologna,Maietta D.,D,4.0,19.0,,,4.0,,,,,,6.08,5.97,-2.0,2015-16
sampdoria,Alvarez R.,T (C),10.0,13.0,1.0,1.0,2.0,,,,,,5.81,6.04,3.0,2015-16
torino,Molinaro C.,D,7.0,27.0,1.0,,3.0,1.0,,,,,5.74,5.77,0.5,2015-16
empoli,Bittante L.,D,3.0,16.0,,,,,,,,,5.96,5.96,,2015-16
udinese,Piris I.,D,5.0,27.0,,,5.0,,,,,,5.62,5.52,-2.5,2015-16
verona,Greco L.,C,5.0,26.0,1.0,,7.0,,,,,,5.66,5.64,-0.5,2015-16
frosinone,Paganini L.,T (C),7.0,27.0,2.0,2.0,6.0,,,,,,5.92,6.1,5.0,2015-16
bologna,Ferrari A.,D,4.0,21.0,,,6.0,,,,,,5.67,5.5,-3.0,2015-16
sampdoria,Serinelli L.,C,1.0,,,,,,,,,,,,,2015-16
torino,Moretti E.,D,10.0,34.0,1.0,,4.0,,,,,,5.79,5.83,1.0,2015-16
atalanta,Asmah K.,D,1.0,,,,,,,,,,,,,2015-16
genoa,Panico G.,A,1.0,1.0,,,,,,,,,,,,2015-16
torino,Bovo C.,D,4.0,20.0,2.0,,10.0,,,,,,5.88,5.93,1.0,2015-16
empoli,Krunic R.,T (C),4.0,15.0,1.0,,3.0,,,,,,5.75,5.83,1.5,2015-16
udinese,Widmer S.,D,9.0,27.0,,2.0,4.0,,,,,,6.04,6.04,,2015-16
roma,Ponce E.,A,4.0,,,,,,,,,,,,,2015-16
chievo,Floro Flores A.,A,15.0,28.0,4.0,1.0,2.0,,,,,,6.12,6.52,12.0,2015-16
fiorentina,Tatarusanu C.,P,16.0,37.0,-39.0,,2.0,,,,,,6.05,4.97,-40.0,2015-16
milan,Kucka J.,C,8.0,30.0,1.0,3.0,11.0,,,,,,5.91,5.95,1.0,2015-16
udinese,Perisan S.,P,1.0,,,,,,,,,,,,,2015-16
verona,Samir,D,4.0,3.0,1.0,,1.0,,,,,,5.83,6.67,2.5,2015-16
inter,Icardi M.,A,30.0,33.0,16.0,4.0,1.0,,2.0,1.0,1.0,,6.05,7.61,48.5,2015-16
genoa,Rincon T.,C,16.0,33.0,3.0,4.0,9.0,,,,,,6.27,6.53,8.5,2015-16
chievo,Gobbi M.,D,9.0,34.0,,1.0,7.0,,,,,,5.88,5.81,-2.5,2015-16
napoli,Lopez D.,C,6.0,25.0,1.0,,2.0,,,,,,5.97,6.05,2.5,2015-16
genoa,Ansaldi C.,D,8.0,24.0,,4.0,4.0,,,,,,6.15,6.23,2.0,2015-16
torino,Vives G.,C,8.0,33.0,1.0,1.0,9.0,1.0,,,,,5.9,5.86,-1.5,2015-16
inter,Ljajic A.,T (A),5.0,26.0,3.0,3.0,2.0,,,,,,6.05,6.57,11.0,2015-16
empoli,Mchedlidze L.,A,2.0,13.0,,,2.0,1.0,,,,,5.39,5.2,-2.0,2015-16
roma,Nainggolan R.,C,22.0,35.0,6.0,1.0,10.0,1.0,,,,,6.37,6.74,13.0,2015-16
sassuolo,Vrsaljko S.,D,12.0,34.0,,4.0,8.0,1.0,,,,,5.99,5.96,-1.0,2015-16
inter,Jovetic S.,T (A),10.0,26.0,6.0,1.0,4.0,,1.0,1.0,,,6.07,6.9,17.5,2015-16
fiorentina,Pasqual M.,D,4.0,17.0,,2.0,5.0,,,,,,6.0,5.97,,2015-16
atalanta,Pinilla M.,A,4.0,20.0,5.0,2.0,8.0,1.0,2.0,,2.0,,5.87,6.21,6.5,2015-16
inter,Palacio R.,A,11.0,27.0,2.0,4.0,5.0,,,,,,6.08,6.4,7.5,2015-16
frosinone,Tonev A.,T (C),4.0,22.0,,1.0,2.0,,,,,,5.81,5.81,,2015-16
sampdoria,Quagliarella F.,A,20.0,32.0,8.0,,1.0,,1.0,1.0,,,6.03,6.73,23.5,2015-16
frosinone,Ciofani D.,A,21.0,37.0,9.0,1.0,1.0,,2.0,2.0,,,5.99,6.77,27.5,2015-16
empoli,Buchel M.,C,8.0,28.0,2.0,1.0,10.0,,,,,,6.08,6.15,2.0,2015-16
bologna,Giaccherini E.,T (C),17.0,28.0,7.0,,7.0,,,,,,6.23,6.86,17.5,2015-16
fiorentina,Tomovic N.,D,4.0,24.0,,,5.0,,,,,,5.78,5.65,-2.5,2015-16
napoli,Reina J.,P,21.0,37.0,-29.0,,1.0,,,,,,6.08,5.28,-29.5,2015-16
milan,Luiz Adriano,A,9.0,26.0,4.0,3.0,4.0,,1.0,1.0,,,5.61,6.15,13.0,2015-16
udinese,Danilo L.,D,7.0,34.0,,,9.0,2.0,,,,,5.75,5.56,-6.5,2015-16
sassuolo,Laribi K.,C,4.0,10.0,,,,,,,,,5.89,5.9,,2015-16
sassuolo,Broh J.,C,1.0,,,,,,,,,,,6.0,,2015-16
fiorentina,Kone P.,T (C),4.0,6.0,,1.0,,1.0,,,,,5.75,5.75,,2015-16
genoa,Lamanna E.,P,8.0,13.0,-18.0,,,,,,,,6.27,4.73,-20.0,2015-16
palermo,Djurdjevic U.,A,3.0,14.0,2.0,,2.0,,,,,,5.5,5.92,5.0,2015-16
juventus,Asamoah K.,C,3.0,11.0,,1.0,1.0,,,,,,6.21,6.29,0.5,2015-16
roma,El Shaarawy,T (A),27.0,16.0,8.0,2.0,,,,,,,6.47,8.09,26.0,2015-16
roma,Perotti D.,T (C),20.0,31.0,4.0,7.0,3.0,2.0,1.0,1.0,,,6.28,6.77,15.5,2015-16
sampdoria,Christodoulopoulos L.,C,4.0,10.0,1.0,,3.0,,,,,,5.69,5.88,1.5,2015-16
sassuolo,Acerbi F.,D,16.0,35.0,4.0,,3.0,,,,,,6.17,6.46,10.5,2015-16
milan,Antonelli L.,D,11.0,28.0,3.0,1.0,2.0,,,,,,5.94,6.28,9.0,2015-16
genoa,Munoz E.,D,4.0,18.0,,,7.0,,,,,,5.85,5.65,-3.5,2015-16
atalanta,Monachello G.,A,4.0,10.0,,,2.0,,,,,,5.56,5.45,-1.0,2015-16
sampdoria,Soriano R.,C,20.0,37.0,8.0,2.0,7.0,,,,,,6.16,6.77,22.5,2015-16
chievo,Castro L.,C,13.0,34.0,3.0,,9.0,,,,,,6.08,6.21,4.5,2015-16
sassuolo,Cannavaro P.,D,9.0,30.0,,1.0,8.0,,,,,,6.0,5.9,-3.0,2015-16
carpi,Lasagna K.,A,16.0,36.0,5.0,1.0,1.0,,,,,,5.94,6.39,15.5,2015-16
genoa,Pavoletti L.,A,19.0,25.0,14.0,2.0,3.0,1.0,,,,,6.22,7.88,41.5,2015-16
palermo,Rispoli A.,D,7.0,22.0,,4.0,3.0,,,,,,5.81,5.94,2.5,2015-16
empoli,Croce D.,C,10.0,28.0,,1.0,3.0,,,,,,6.2,6.19,-0.5,2015-16
carpi,Crimi M.,C,7.0,20.0,,,9.0,,,,,,6.0,5.76,-4.5,2015-16
chievo,Hetemaj P.,C,7.0,28.0,1.0,,7.0,,,,,,6.15,6.13,-0.5,2015-16
bologna,Oikonomou M.,D,4.0,20.0,,1.0,5.0,1.0,,,,,5.85,5.72,-2.5,2015-16
atalanta,De Roon M.,C,11.0,36.0,1.0,1.0,9.0,1.0,,,,,6.06,6.01,-1.5,2015-16
fiorentina,Badelj M.,C,6.0,27.0,,1.0,7.0,1.0,,,,,6.0,5.87,-3.5,2015-16
chievo,Dainelli D.,D,4.0,18.0,1.0,,5.0,,,,,,5.86,5.89,0.5,2015-16
chievo,Pinzi G.,C,4.0,18.0,,,7.0,,,,,,5.9,5.66,-3.5,2015-16
torino,Obi J.,C,5.0,10.0,1.0,,1.0,1.0,,,,,5.69,5.89,1.5,2015-16
fiorentina,Alonso M.,D,9.0,31.0,3.0,4.0,8.0,,,,,,5.97,6.27,9.0,2015-16
milan,Alex,D,8.0,25.0,3.0,1.0,5.0,,,,,,5.94,6.24,7.5,2015-16
chievo,Sardo G.,D,3.0,6.0,1.0,,3.0,,,,,,5.5,5.75,1.5,2015-16
roma,Sadiq U.,A,4.0,3.0,1.0,,,,,,,,6.25,7.75,3.0,2015-16
lazio,Konko A.,D,5.0,18.0,,,3.0,,,,,,6.03,5.94,-1.5,2015-16
chievo,Pepe S.,C,6.0,22.0,3.0,3.0,2.0,1.0,,,,,5.95,6.36,10.0,2015-16
genoa,Lazovic D.,T (C),4.0,15.0,,2.0,,,,,,,5.62,5.75,2.0,2015-16
lazio,Cataldi D.,C,4.0,20.0,1.0,3.0,8.0,1.0,,,,,5.64,5.69,1.0,2015-16
udinese,Perica S.,A,4.0,11.0,2.0,,1.0,,,,,,5.8,6.35,5.5,2015-16
palermo,Sorrentino S.,P,17.0,35.0,-58.0,,1.0,,,,,,6.44,4.77,-58.5,2015-16
verona,Rebic A.,A,3.0,14.0,1.0,,2.0,1.0,,,,,5.57,5.64,1.0,2015-16
chievo,Gamberini A.,D,5.0,22.0,,1.0,1.0,,,,,,5.86,5.8,-1.5,2015-16
udinese,Balic A.,T (C),4.0,,,,,,,,,,,,,2015-16
atalanta,Cigarini L.,C,11.0,25.0,2.0,2.0,10.0,,1.0,1.0,,,6.2,6.29,3.0,2015-16
udinese,Pasquale G.,D,4.0,6.0,,,2.0,,,,,,6.0,5.67,-1.0,2015-16
verona,Toni L.,A,10.0,23.0,6.0,,3.0,,4.0,3.0,1.0,,5.91,6.5,13.5,2015-16
fiorentina,Ilicic J.,T (A),22.0,30.0,13.0,4.0,2.0,,7.0,7.0,,,6.37,7.84,42.0,2015-16
chievo,Birsa V.,T (C),14.0,35.0,6.0,6.0,4.0,,3.0,2.0,1.0,,5.94,6.49,19.0,2015-16
fiorentina,Valero B.,C,20.0,37.0,4.0,6.0,5.0,,,,,,6.38,6.8,15.5,2015-16
verona,Ionita A.,C,14.0,31.0,4.0,2.0,2.0,,,,,,5.91,6.36,13.0,2015-16
sassuolo,Defrel G.,A,20.0,32.0,8.0,2.0,2.0,1.0,,,,,5.88,6.66,24.0,2015-16
sassuolo,Terranova E.,D,3.0,6.0,,,1.0,,,,,,5.9,5.83,-0.5,2015-16
lazio,Kishna R.,T (C),4.0,11.0,2.0,,,,,,,,5.67,6.25,6.0,2015-16
juventus,Neto N.,P,1.0,3.0,-3.0,,,,,,,,6.0,5.0,-3.0,2015-16
napoli,Insigne L.,T (A),26.0,37.0,12.0,9.0,2.0,,2.0,2.0,,,6.24,7.43,44.0,2015-16
carpi,Cofie I.,C,6.0,29.0,,,7.0,,,,,,5.8,5.67,-3.5,2015-16
inter,Carrizo J.,P,1.0,2.0,-4.0,,,,,,,,5.75,3.75,-4.0,2015-16
verona,Marrone L.,C,5.0,21.0,1.0,3.0,7.0,,,,,,5.93,6.05,2.5,2015-16
frosinone,Ajeti A.,D,5.0,16.0,1.0,,5.0,1.0,,,,,5.8,5.77,-0.5,2015-16
atalanta,Brivio D.,D,3.0,14.0,,,2.0,,,,,,5.77,5.69,-1.0,2015-16
verona,Pisano E.,D,12.0,34.0,5.0,,7.0,,,,,,5.78,6.12,11.5,2015-16
empoli,Saponara R.,T (C),19.0,33.0,5.0,9.0,6.0,1.0,1.0,,1.0,,6.29,6.8,17.0,2015-16
palermo,Gilardino A.,A,24.0,33.0,10.0,1.0,4.0,,,,,,5.88,6.76,29.0,2015-16
torino,Farnerud A.,C,3.0,5.0,,,,,,,,,5.62,5.7,,2015-16
milan,Bonaventura G.,T (C),19.0,33.0,6.0,7.0,8.0,,,,,,6.27,6.91,21.0,2015-16
bologna,Krafth E.,D,4.0,4.0,,,,,,,,,5.5,5.5,,2015-16
udinese,Armero P.,D,4.0,5.0,1.0,,,,,,,,5.8,6.0,1.0,2015-16
frosinone,Frara A.,C,5.0,20.0,2.0,,3.0,,,,,,5.97,6.21,4.5,2015-16
verona,Souprayen S.,D,3.0,20.0,,,5.0,1.0,,,,,5.65,5.48,-3.5,2015-16
atalanta,Migliaccio G.,C,3.0,18.0,,,2.0,1.0,,,,,5.91,5.78,-2.0,2015-16
inter,Berni T.,P,1.0,,,,,,,,,,,,,2015-16
lazio,Anderson F.,T (C),19.0,35.0,7.0,4.0,2.0,,,,,,5.66,6.37,24.0,2015-16
udinese,Hallfredsson E.,C,6.0,27.0,,1.0,11.0,,,,,,5.82,5.63,-4.5,2015-16
empoli,Maccarone M.,A,27.0,37.0,13.0,4.0,4.0,,1.0,1.0,,,6.14,7.33,41.5,2015-16
palermo,La Gumina A.,A,2.0,3.0,,,,,,,,,5.75,5.75,,2015-16
palermo,Brugman G.,C,4.0,14.0,,,2.0,,,,,,5.65,5.58,-1.0,2015-16
milan,Ely R.,D,1.0,3.0,,,1.0,1.0,,,,,4.67,3.5,-3.5,2015-16
sampdoria,Cassano A.,A,10.0,24.0,2.0,4.0,1.0,,,,,,6.02,6.45,9.5,2015-16
chievo,Bizzarri A.,P,19.0,35.0,-43.0,,2.0,,,,,2.0,6.27,5.19,-38.0,2015-16
palermo,Andelkovic S.,D,6.0,23.0,,1.0,3.0,1.0,,,,,5.7,5.64,-1.5,2015-16
torino,Peres B.,D,15.0,31.0,3.0,3.0,9.0,,,,,,6.13,6.31,5.5,2015-16
fiorentina,Fernandez M.,C,5.0,22.0,1.0,2.0,3.0,1.0,,,,,5.82,5.97,2.5,2015-16
udinese,Meret A.,P,1.0,,,,,,,,,,,,,2015-16
bologna,Masina A.,D,8.0,33.0,2.0,3.0,8.0,1.0,,,,,5.76,5.88,4.0,2015-16
atalanta,Freuler R.,C,5.0,6.0,1.0,,,,,,,,6.0,6.5,3.0,2015-16
sassuolo,Berardi D.,T (A),15.0,28.0,7.0,6.0,10.0,1.0,5.0,3.0,2.0,,6.08,6.61,15.0,2015-16
napoli,Jorginho,C,12.0,35.0,,4.0,10.0,1.0,,,,,6.13,6.07,-2.0,2015-16
chievo,Rigoni N.,C,10.0,28.0,3.0,,7.0,,,,,,6.02,6.22,5.5,2015-16
sampdoria,Muriel L.,A,16.0,32.0,6.0,4.0,3.0,,,,,,5.9,6.57,20.5,2015-16
lazio,Bisevac M.,D,6.0,11.0,1.0,,,,,,,,5.65,5.95,3.0,2015-16
chievo,Spolli N.,D,4.0,14.0,,,5.0,1.0,,,,,5.86,5.61,-3.5,2015-16
sassuolo,Sansone N.,T (A),21.0,36.0,7.0,3.0,8.0,,1.0,,1.0,,6.22,6.67,17.0,2015-16
atalanta,Radunovic B.,P,1.0,1.0,-1.0,,,,,,,,6.0,5.0,-1.0,2015-16
lazio,Patric,D,2.0,9.0,,,2.0,1.0,,,,,5.69,5.44,-2.0,2015-16
sassuolo,Duncan J.,C,13.0,32.0,1.0,2.0,5.0,,,,,,6.15,6.22,2.5,2015-16
sampdoria,Skriniar M.,D,3.0,3.0,,,1.0,1.0,,,,,5.25,4.75,-1.0,2015-16
genoa,Tachtsidis P.,C,8.0,24.0,2.0,2.0,3.0,,,,,,5.98,6.17,4.5,2015-16
sampdoria,Viviano E.,P,21.0,37.0,-56.0,,2.0,,,,,4.0,6.22,5.0,-45.0,2015-16
verona,Emanuelson U.,C,6.0,11.0,,1.0,,,,,,,5.86,5.95,1.0,2015-16
sampdoria,Ranocchia A.,D,4.0,24.0,,,5.0,1.0,,,,,5.72,5.53,-3.5,2015-16
genoa,Dzemaili B.,C,11.0,27.0,3.0,1.0,6.0,1.0,,,,,5.9,6.13,6.0,2015-16
roma,Torosidis V.,D,4.0,11.0,,,2.0,,,,,,5.5,5.44,-0.5,2015-16
genoa,Burdisso N.,D,7.0,28.0,,,7.0,,,,,,5.91,5.77,-3.5,2015-16
napoli,Albiol R.,D,11.0,36.0,1.0,1.0,10.0,,,,,,6.03,6.0,-1.0,2015-16
inter,Brozovic M.,C,13.0,32.0,4.0,4.0,7.0,,,,,,6.12,6.5,12.5,2015-16
sampdoria,Puggioni C.,P,1.0,,,,,,,,,,,,,2015-16
atalanta,Drame B.,D,4.0,25.0,,,1.0,1.0,,,,,5.76,5.7,-1.5,2015-16
carpi,De Guzman J.,T (C),3.0,5.0,1.0,,,,1.0,1.0,,,5.75,6.5,3.0,2015-16
udinese,Thereau C.,A,23.0,36.0,11.0,3.0,2.0,1.0,,,,,6.03,6.96,34.0,2015-16
frosinone,Ciofani M.,D,4.0,18.0,,1.0,2.0,,,,,,5.69,5.69,,2015-16
atalanta,Cherubin N.,D,3.0,14.0,1.0,,1.0,1.0,,,,,5.71,5.81,1.5,2015-16
torino,Gazzi A.,C,3.0,14.0,,,4.0,,,,,,5.75,5.62,-2.0,2015-16
genoa,Suso,T (C),16.0,20.0,6.0,1.0,4.0,,,,,,5.95,6.8,17.0,2015-16
genoa,Rigoni L.,C,16.0,28.0,4.0,,4.0,1.0,,,,,6.02,6.35,9.0,2015-16
inter,Santon D.,D,3.0,12.0,,,1.0,,,,,,5.59,5.55,-0.5,2015-16
carpi,Letizia G.,D,9.0,35.0,1.0,,5.0,,,,,,5.89,5.9,0.5,2015-16
torino,Maksimovic N.,D,4.0,15.0,,1.0,3.0,,,,,,5.8,5.78,-0.5,2015-16
napoli,El Kaddouri O.,C,4.0,20.0,1.0,2.0,2.0,,,,,,5.85,6.11,4.0,2015-16
lazio,Biglia L.,C,13.0,27.0,4.0,2.0,9.0,1.0,2.0,2.0,,,6.26,6.57,8.5,2015-16
frosinone,Bardi F.,P,4.0,2.0,-3.0,,1.0,,,,,1.0,7.5,6.5,-0.5,2015-16
fiorentina,Zarate M.,T (A),16.0,15.0,3.0,,2.0,1.0,,,,,6.15,6.69,7.0,2015-16
verona,Pazzini G.,A,15.0,30.0,6.0,1.0,5.0,,3.0,3.0,,,5.8,6.39,16.5,2015-16
carpi,Porcari F.,C,2.0,4.0,,,1.0,,,,,,5.38,5.25,-0.5,2015-16
carpi,Belec V.,P,15.0,30.0,-41.0,,1.0,,,,,1.0,6.23,4.95,-38.5,2015-16
bologna,Brighi M.,C,6.0,23.0,,,3.0,,,,,,5.85,5.78,-1.5,2015-16
inter,Manaj R.,A,2.0,4.0,,,1.0,,,,,,6.0,6.0,,2015-16
empoli,Skorupski L.,P,11.0,31.0,-43.0,,2.0,,,,,,6.11,4.69,-44.0,2015-16
napoli,Chiriches V.,D,4.0,8.0,1.0,,2.0,,,,,,6.06,6.31,2.0,2015-16
torino,Zappacosta D.,D,7.0,24.0,1.0,1.0,3.0,,,,,,5.79,5.89,2.5,2015-16
chievo,Meggiorini R.,A,10.0,26.0,5.0,5.0,8.0,1.0,,,,,6.3,6.85,15.0,2015-16
fiorentina,Diakhate A.,C,1.0,,,,,,,,,,,,,2015-16
atalanta,Gagliardini R.,C,4.0,1.0,,,,,,,,,6.5,6.5,,2015-16
carpi,Verdi S.,T (C),9.0,8.0,3.0,,1.0,,2.0,2.0,,,6.25,7.36,8.5,2015-16
sampdoria,Fernando L.,C,17.0,35.0,5.0,1.0,14.0,,,,,,6.16,6.41,9.0,2015-16
sassuolo,Trotta M.,A,8.0,8.0,1.0,,,,,,,,5.6,6.08,3.0,2015-16
empoli,Cosic U.,D,4.0,9.0,,,4.0,,,,,,5.78,5.56,-2.0,2015-16
palermo,Bentivegna A.,T (A),1.0,1.0,,,1.0,,,,,,,,,2015-16
atalanta,Masiello A.,D,8.0,29.0,,1.0,7.0,,,,,,5.95,5.84,-2.5,2015-16
empoli,Laurini V.,D,6.0,25.0,1.0,,5.0,,,,,,5.75,5.76,0.5,2015-16
carpi,Liotti A.,P,1.0,,,,,,,,,,,,,2015-16
udinese,Adnan A.,D,6.0,28.0,1.0,1.0,6.0,,,,,,5.67,5.7,1.0,2015-16
roma,Pjanic M.,C,26.0,33.0,10.0,8.0,10.0,1.0,1.0,1.0,,,6.41,7.35,32.0,2015-16
bologna,Pulgar E.,C,4.0,13.0,,,2.0,,,,,,5.73,5.62,-1.0,2015-16
fiorentina,Vecino M.,C,13.0,30.0,2.0,1.0,8.0,,,,,,6.21,6.31,3.0,2015-16
palermo,Posavec J.,P,1.0,1.0,,,,,,,,,7.0,7.0,,2015-16
milan,Zapata C.,D,3.0,16.0,1.0,,3.0,,,,,,5.59,5.69,1.5,2015-16
chievo,Izco M.,C,4.0,,,,,,,,,,,,,2015-16
napoli,Luperto S.,D,1.0,,,,,,,,,,,,,2015-16
sampdoria,Correa J.,T (C),6.0,25.0,3.0,,5.0,1.0,,,,,5.74,5.96,5.5,2015-16
fiorentina,Tello C.,T (C),18.0,15.0,2.0,4.0,1.0,,,,,,6.13,6.77,9.5,2015-16
carpi,Bubnjic I.,D,4.0,9.0,,,1.0,,,,,,5.44,5.39,-0.5,2015-16
palermo,Pirrello R.,D,1.0,,,,,,,,,,,,,2015-16
udinese,Guilherme D.,C,3.0,5.0,,,1.0,,,,,,5.6,5.5,-0.5,2015-16
sassuolo,Antei L.,D,3.0,5.0,,1.0,2.0,,,,,,5.7,5.75,,2015-16
fiorentina,Rodriguez G.,D,14.0,35.0,4.0,,7.0,,,,,,6.06,6.3,8.5,2015-16
sassuolo,Gazzola M.,D,4.0,9.0,,1.0,1.0,,,,,,5.94,6.0,0.5,2015-16
sassuolo,Missiroli S.,C,6.0,24.0,2.0,,6.0,1.0,,,,,6.27,6.31,2.0,2015-16
empoli,Livaja M.,A,4.0,18.0,1.0,,7.0,,,,,,5.78,5.78,,2015-16
palermo,Pezzella G.,D,3.0,5.0,,,,,,,,,5.3,5.3,,2015-16
